@node: #id_pdg,%+voisins,cause,label,type,shape,content
a0,"a0,a0",csg,csg,1,square,"après avoir travaillé toute ma vie, mes rentes se montent à 1700 euros et ne me suffisent malheureusement pas à boucler mes mois. pour vivre décemment, toute personne a besoin de 2500 euros !

je propose trois choses à ce sujet :

- suppression totale de la csg pour les retraites inférieures à 2500 euros
- indexation annuelle au réel coût de la vie.
- baisse de 50% de l'impôt

ps : je profite de cette tribune pour proposer mes services gracieux d'écrivain, voire de co-gestionnaire de cette plateforme citoyenne.


"
a1,"a1,a1,a1226,a1226,a3421,a3421,a4057,a4057",test,test,1,square,ceci est juste une proposition
a2,"a2,a2,a942,a942,a1318,a1318,a1985,a1985,a1994,a1994",,,1,square,le respect du peuple est l'un des premiers manquements de nos dirigeants
a3,"a3,a3,a1886,a1886,a3012,a3012",assemblée nationale,assemblée nationale,1,square,"dissolution immédiate de l'assemblée aujourd'hui composée de personnes inexpérimentées et non représentatives de notre société.
introduction d'une dose 30 à 50% de la proportionnelle.
"
a4,"a4,a4,a3912,a3912",associations,associations,1,square,"• audit et contrôle de l’argent donné aux associations, afin de resserrer et d’éliminer le périmètre des assos « paravents » inutiles et ne respectant pas ou plus les critères d’éligibilités"
a5,"a5,a5,a151,a151,a1311,a1311",elus en general,elus en general,1,square,"passer a la 6ème république 
supprimer tout les avantages de ces derniers.  
ceux ci doivent être élus par le peuple uniquement, même chose pour le co seul d'état."
a6,"a6,a6,a3717,a3717",politique étrangère,politique étrangère,1,square,mise en place d’une politique étrangère respectueuse des peuples et arrêt des guerres économiques
a7,"a7,a7,a59,a59,a540,a540,a3525,a3525",ric,ric,1,square,"• mise en place du ric en tous domaines
abrogatoire
législatif 
constituant
révocatoire"
a8,"a8,a8,a154,a154,a543,a543,a786,a786,a1965,a1965",smic,smic,1,square,"augmentation immédiate du smic à 1800 euros net.

personne ne peut vivre avec moins."
a9,"a9,a9,a2379,a2379",tva fixe,tva fixe,1,square,"tva réduite pour les produits première nécessite
tva superieure produit de luxe"
a10,"a10,a10,a449,a449,a633,a633,a642,a642,a2003,a2003,a2220,a2220",abstension ,abstension ,1,square,vote obligatoire
a11,"a11,a11,a953,a953","avec la mondialisation de la finance et les incroyables progrès technoscientifiques, le capitalisme du 21ème  siècle crée des déséquilibres sociaux effarants, que l'on n'avait plus vu depuis le 19ème siècle. dans cette nouvelle forme capitaliste, les plus riches ont décidé de ne plus financer le monde commun au travers des impôts (nos écoles, nos routes, nos hôpitaux ...). c'est ainsi à une véritable destruction de nos sociétés à laquelle on assiste (impuissants ?).","avec la mondialisation de la finance et les incroyables progrès technoscientifiques, le capitalisme du 21ème  siècle crée des déséquilibres sociaux effarants, que l'on n'avait plus vu depuis le 19ème siècle. dans cette nouvelle forme capitaliste, les plus riches ont décidé de ne plus financer le monde commun au travers des impôts (nos écoles, nos routes, nos hôpitaux ...). c'est ainsi à une véritable destruction de nos sociétés à laquelle on assiste (impuissants ?).",1,square,relocaliser la production d’énergie
a12,"a12,a12",éducation nationale,éducation nationale,1,square,"exclure toute idéologie de l’éducation nationale, (exemple théorie du genre) révision des modules d’éducation, une stricte neutralité s’impose, l’éducation ne doit pas être le réceptacle des idéologies du moment, ni des groupes d’influences qui essaient de manipuler le futur citoyen (exemple la gpa, l’avortement, le féminisme, les modes sexuelles, les religions etc"
a13,"a13,a13,a1904,a1904,a4521,a4521",la constitution,la constitution,1,square,"referendum d'initiative citoyen pour :
- modifier la constitution
- annuler la loi
- destituer
- proposer une loi"
a14,"a14,a14,a1065,a1065,a1808,a1808,a1830,a1830",justice économique,justice économique,1,square,interdiction de vendre les biens appartenant à la france
a15,"a15,a15,a136,a136,a214,a214,a655,a655,a1432,a1432,a1757,a1757,a1892,a1892,a2029,a2029,a2088,a2088,a2387,a2387,a3583,a3583,a4323,a4323",justice démocratique,justice démocratique,1,square,lutter contre la délocalisation des entreprises
a16,"a16,a16,a90,a90,a91,a91",l'injustice fiscale,l'injustice fiscale,1,square,rétablir et amplifier l'isf.
a17,"a17,a17",justice sociale,justice sociale,1,square,même système de sécurité sociale pour tous
a18,"a18,a18,a513,a513,a669,a669,a1267,a1267,a1414,a1414,a2604,a2604,a3156,a3156,a3738,a3738,a3869,a3869,a4500,a4500",smic ,smic ,1,square,augmenter le smic à 1300 euros net
a19,"a19,a19,a106,a106,a1059,a1059,a1479,a1479,a1911,a1911,a1928,a1928,a2694,a2694,a3274,a3274,a3354,a3354,a3647,a3647,a4116,a4116",le lbd 40,le lbd 40,1,square,supprimer cette arme
a20,"a20,a20,a141,a141",le pacte energie,le pacte energie,1,square,"fabriquer de l'algocarburant, ou moteur à eau, ou recyclage déchets en carburant . les ingénieurs sont prêts. on ne veut pas de l'electrique (problèmes recyclage batteries à 10 000 e et 200 km d'autonomie)"
a21,"a21,a21,a22,a22,a3283,a3283",social,social,1,square,voir pour mettre en place un revenu minimal de solidarité en taxant toute les entreprises qui robotise et qui crée du chômage.. en leur prenant l'équivalent du nombre de personnes qui es remplacé par la robotisation
a22,"a21,a21,a22,a22,a3283,a3283",social,social,1,square,voir pour mettre en place un revenu minimal de solidarité en taxant toute les entreprises qui robotise et qui crée du chômage.. en leur prenant l'équivalent du nombre de personnes qui es remplacé par la robotisation
a23,,dépenses de l'état,dépenses de l'état,1,square,"réduction du salaire des ministres et députés
réduction des avantages divers
impôt sur les revenus
obligation d'un casier judiciaire vierge"
a24,"a24,a24,a1177,a1177",la loi schiappa,la loi schiappa,1,square,enlever cette loi schiappa article 2 qui ne garantit plus la protection des mineurs dans le cadre des violences sexuelles
a25,"a25,a25",les inégalités sociales,les inégalités sociales,1,square,limité le multiplicateur entre les salaires les plus bas et les salaires les plus hauts dans les entreprises.
a26,"a26,a26,a527,a527,a935,a935,a2276,a2276,a2846,a2846",la police et la gendarmerie,la police et la gendarmerie,1,square,"changement de la doctrine d'emploi, trop violente"
a27,"a27,a27,a123,a123,a1418,a1418,a2211,a2211",les prix alimentaires trop élevés,les prix alimentaires trop élevés,1,square,baisser les taxes
a28,"a28,a28,a484,a484,a650,a650,a1499,a1499,a1941,a1941,a2811,a2811,a3431,a3431,a3517,a3517",traité de marrakech,traité de marrakech,1,square,deratification
a29,"a29,a29",la destruction neregle de nos services publics accompagnées d'une augmentation importante de nos taxes et charges,la destruction neregle de nos services publics accompagnées d'une augmentation importante de nos taxes et charges,1,square,sur charger et sur taxer  les multinationales qui profitent de nos infrastructures à l'oeil. exiger qu'elles financent directement nos services publics. leur interdire tout droit de regard sur leur gestion.
a30,"a30,a30",transport : trajet domicile/travail,transport : trajet domicile/travail,1,square,"gratuité abonnement sncf/bus dans un rayon de 50 kms ( carte transport prépayée ou crédit d'impôt également  pour tous les salariés )
avantage ( transition écologique, énergétique et hausse du pouvoir d'achat) actuellement 50% pris en charge par l'employeur donc reste 50% à finnancer"
a31,"a31,a31",la cherté des loyers,la cherté des loyers,1,square,créer autour des bassins d'emplois des zones aménagées  en recyclant les mobil-homes qui ne sont plus acceptés par les campings de loisir mais qui sont encore en bon état pour servir de logement à ceux qui ont fui les villes trop chères et les banlieues trop peu sûres.
a32,"a32,a32,a1995,a1995",l'union européenne actuelle,l'union européenne actuelle,1,square,réduire drastiquement le budget de l'union européenne qui n'est qu'une foire aux lobbys économiques et financiers puissants et qui complique depuis des décennies la vie des citoyens européens sans leur apporter la prospérité ni la sécurité.
a33,"a33,a33,a3439,a3439",les violences policieres,les violences policieres,1,square,passer au tribunal les responsables de la prise de décision ( le  ministre et le président) ayant  entrainé la mort ou le handicap d'individus exerçant naturellement leur droit constitutionnel  de manifester.
a34,"a34,a34,a1594,a1594",la cherté des loyers,la cherté des loyers,1,square,"favoriser la vente des appartements hlm à leurs locataires afin que leur loyer serve à acquérir une épargne, la possession de son logement étant le meilleur placement de sécurité pour sa retraite."
a35,"a35,a35",aspa,aspa,1,square,"les etrangers ont droit à l'aspa même s'ils n'ont jamais travaillé en france ni cotisé. comme ils n'y possèdent rien, ce sont les français pauvres qui se privent pour conserver leur petit bien."
a36,"a36,a36",social,social,1,square,donner des moyens au associations pour qu'il puisse récupérer les bâtiments laissé à l'abandon pour y faire des logements sociaux pour les plus démunis et qu'il n'y ait plus personne à la rue
a37,"a37,a37,a2397,a2397",immigration,immigration,1,square,laisser rentrer les etrangers s'ils ont un travail et un logement et qu'ils parlent le francais
a38,"a38,a38,a3080,a3080,a3304,a3304",discriminations salariales entre les femmes et les hommes,discriminations salariales entre les femmes et les hommes,1,square,applications immédiates de toutes les lois votées en ce sens avec de très lourdes sanctions pour les entreprises ou collectivités qui ne respectent pas ce principe
a39,"a39,a39",complexité du code fiscal,complexité du code fiscal,1,square,"réforme complète en supprimant la csg. tous les revenus doivent être globalisés (salaires retraites, primes, indemnités, loyers, revenus financiers) et être taxé selon une échelle progressive mais au-dessus de 15.000 euros pour un couple"
a40,"a40,a40,a2400,a2400,a3780,a3780",le chômage de masse,le chômage de masse,1,square,"confier un chômeur à chaque artisan et commerçant pendant 1 an. budget : 31 200 euros par chômeur. avec 100 milliards d'euros, on remet au travail 3.2 millions de personnes. détail de cette solution en tapant ""anousdejouer chomage"" sur google"
a41,"a41,a41,a4399,a4399",abus en matière du droit du sol,abus en matière du droit du sol,1,square,"supprimer le droit du sol. les enfants de parents étrangers qui n'ont pas la double nationalité mais sont nés en france, restent étrangers et non français"
a42,"a42,a42,a593,a593",injustices en matières pénales,injustices en matières pénales,1,square,que l'échelle des peines soit soumise à l'approbation du peuple et obligatoirement appliquée par les juges.
a43,"a43,a43,a2109,a2109",impot,impot,1,square,remettre les frais des travaux pour l’amélioration des habitations avec un abattements de 30 % a déduire sur les impots et non pas par prime
a44,"a44,a44,a112,a112,a836,a836,a1100,a1100",salaire,salaire,1,square,"augmenter tous les salaires smic, fonctionnaire  etc ...... au minimum de 1600 € net"
a45,"a45,a45,a1051,a1051,a1855,a1855,a3337,a3337",migrant,migrant,1,square,"arreter de d’accueillir les migrants pour l'instant, afin de pouvoir aider les sdf"
a46,"a46,a46",tva,tva,1,square,baisser la tva des produits francais a 2.5 % pour ceux a 5.5 % a leur actuel et 15 % pour ceux a 20%
a47,"a47,a47",la vente des autoroutes au privé,la vente des autoroutes au privé,1,square,"les autoroutes payées par l'argent du contribuable ont été vendues à vil prix à des sociétés privées par des ministres. aucun gouvernement ne doit être autorisé (sauf accord du peuple) à vendre un bien financé avec de l'argent public, les responsables devraient faire l'objet de poursuites."
a48,"a48,a48,a50,a50,a3392,a3392",élus et revenus,élus et revenus,1,square,"les rémunérations et indemnités des élus et désignés [ministres et leurs troupes] ne doivent pas dépassées le montant de la moyenne des salaires français. aujourd’hui : 26 327 euros par an, brut [insee]"
a49,"a49,a49,a4277,a4277",laïcité,laïcité,1,square,"laïcité : appliquer immédiatement les articles 261 et 261 bis du code pénal et la loi de 1905, qui permettent la répression des promoteurs de la charria."
a50,"a48,a48,a50,a50,a4240,a4240",presse,presse,1,square,suppression de toutes les subventions à la presse. le consommateur paie sa consommation d’information. nous n’avons pas à payer [impôts] pour des titres dont les orientation ne nous conviennent pas !
a51,"a51,a51,a2758,a2758,a3561,a3561,a3718,a3718",institutions,institutions,1,square,pénalisation des accessions aux postes de la fonction publique par copinage ou confrérie.
a52,"a52,a52,a1727,a1727,a2456,a2456,a3672,a3672",immigration,immigration,1,square,remplacer le droit du sol par le droit du sang pour l'acquisition de la nationalité française.
a53,"a53,a53,a1094,a1094,a1152,a1152,a1810,a1810,a2037,a2037,a2128,a2128",taxes,taxes,1,square,taxation du kérozen (sauf sur vols intérieurs) et du fioul lourd des navires de croisières.
a54,"a54,a54,a555,a555,a658,a658,a887,a887,a1335,a1335,a2316,a2316,a2510,a2510,a2536,a2536,a3744,a3744,a3883,a3883,a4093,a4093",transition écologique,transition écologique,1,square,promotion des énergies renouvelables.
a55,"a55,a55",retraites,retraites,1,square,seuls les personnes ayant cotisé doivent percevoir une retraite.
a56,"a56,a56,a539,a539,a1447,a1447",remise a plat des aides socials,remise a plat des aides socials,1,square,"remise à plat des aides sociales et transfert vers un revenu universel à partir de 18 ans, habitant en france et sous conditions de salaires &lt; 3500 € pour une personne seul (avantage plus de fraudes)"
a57,,couts de l'etat,couts de l'etat,1,square,diminuer les salaires de tous les membres du gouvernement de 30%. arrêter le financement des anciens présidents et membres du gouvernement qui ne sont plus au pouvoir (pas de régime particulier) arrêt des « avantages des élus » (transports par ex)
a58,"a58,a58",les indemnités à vie des présidents  de la république,les indemnités à vie des présidents  de la république,1,square,supprimer complètement l'indemnité du président à la fin de son mandat
a59,"a7,a7,a59,a59,a540,a540,a3525,a3525",la démocratie représentative,la démocratie représentative,1,square,"instaurer dans la constitution le référendum d'initiative citoyenne constituant, abrogatoire, révocatoire et législatif"
a60,,les impôts,les impôts,1,square,que tous les citoyens paient l'impôt sur le revenu dès le premier euro perçu pour répondre à un des principes de notre pays... égalité
a61,"a61,a61,a2875,a2875,a3137,a3137",les salaires sont trop bas,les salaires sont trop bas,1,square,reindexation des salaires et retraites sur le coup de la vie
a62,"a62,a62",handicap,handicap,1,square,créer un véritable statut d'aidant pour une personne handicapé avec rémunération et droit à la retraite
a63,,pouvoir d'achat qui diminue,pouvoir d'achat qui diminue,1,square,d'indexer les retraites sur l'inflation
a64,"a64,a64,a143,a143,a1695,a1695,a2423,a2423",tva,tva,1,square,"baisse du taux sur les produits de 1ère nécessité, alimentations, prêt à porter de base,..."
a65,"a65,a65",limitation des dépenses des représentants du peuple,limitation des dépenses des représentants du peuple,1,square,"salaire limité a 5000 €  brut pour l'ensemble de la classe politique  ( incluant président, ministres, élus, députés, haut fonctionnaires, préfets,  responsable et haut responsable d'entités publique)."
a66,"a66,a66",régime de retraite des représentants du peuple,régime de retraite des représentants du peuple,1,square,"alignement des retraites de l'ensemble de la classe politique ( incluant président, ministres, élus, députés, haut fonctionnaires, préfets,  responsable et haut responsable d'entités publique) sur le régime général."
a67,"a67,a67,a132,a132",limitation des dépenses des représentants du peuple,limitation des dépenses des représentants du peuple,1,square,"remboursement des frais d'hôtel professionnels sur la base de 70 €  ( le montant peut être débattu ),  plafonnement pour les frais de transport ( taxi, transports en commun, frais kilométriques)."
a68,"a68,a68,a1596,a1596,a2918,a2918",non représentation citoyenne,non représentation citoyenne,1,square,obliger les élus à résider et travailler dans leur commune/département/région/pays et d'y avoir travaillé au moins pendant 6 ans. halte au parachutages.
a69,"a69,a69",vote,vote,1,square,"mettre en place le référendum d'initiative citoyenne quelque soit l'objet de celui-ci (sous seules conditions d'un minimum de demandeurs, par exemple 1million, et que le sujet n'est pas fait l'objet d'un référendum depuis moins de 5 ans)."
