@node: #id_pdg,%+voisins,cause,motclef,type,content,label
a0,"a4687,a4692,a4741,a4855,a4945,a4954,a4960,a4992,a5010",csg,"['retraite', 'suppression', 'coût', 'csg', 'euro', 'indexation', 'personne', 'impôt', 'coût de la vie']",1,"après avoir travaillé toute ma vie, mes rentes se montent à 1700 euros et ne me suffisent malheureusement pas à boucler mes mois. pour vivre décemment, toute personne a besoin de 2500 euros !

je propose trois choses à ce sujet :

- suppression totale de la csg pour les retraites inférieures à 2500 euros
- indexation annuelle au réel coût de la vie.
- baisse de 50% de l'impôt

ps : je profite de cette tribune pour proposer mes services gracieux d'écrivain, voire de co-gestionnaire de cette plateforme citoyenne.


",csg
a1,,test,[],1,ceci est juste une proposition,test
a2,"a4707,a5036",,"['respect', 'peuple']",1,le respect du peuple est l'un des premiers manquements de nos dirigeants,
a3,"a4564,a4653",assemblée nationale,"['société', 'proportionnelle']",1,"dissolution immédiate de l'assemblée aujourd'hui composée de personnes inexpérimentées et non représentatives de notre société.
introduction d'une dose 30 à 50% de la proportionnelle.
",assemblée nationale
a4,"a4565,a4885,a4971",associations,"['association', 'argent', 'contrôle']",1,"• audit et contrôle de l’argent donné aux associations, afin de resserrer et d’éliminer le périmètre des assos « paravents » inutiles et ne respectant pas ou plus les critères d’éligibilités",associations
a5,"a4707,a4862,a5053",elus en general,"['république', 'avantage', 'peuple']",1,"passer a la 6ème république 
supprimer tout les avantages de ces derniers.  
ceux ci doivent être élus par le peuple uniquement, même chose pour le co seul d'état.",elus en general
a6,"a4627,a4747",politique étrangère,"['mise en place', 'politique']",1,mise en place d’une politique étrangère respectueuse des peuples et arrêt des guerres économiques,politique étrangère
a7,"a4627,a4726,a4763",ric,"['domaine', 'mise en place', 'ric']",1,"• mise en place du ric en tous domaines
abrogatoire
législatif 
constituant
révocatoire",ric
a8,"a4902,a4954",smic,"['smic', 'euro']",1,"augmentation immédiate du smic à 1800 euros net.

personne ne peut vivre avec moins.",smic
a9,"a4674,a4743,a4898,a4970",tva fixe,"['nécessite', 'luxe', 'produit', 'tva']",1,"tva réduite pour les produits première nécessite
tva superieure produit de luxe",tva fixe
a10,"a4610,a4973",abstension ,"['vote', 'vote obligatoire']",1,vote obligatoire,abstension 
a11,"a4559,a4564,a4729,a4736,a4768,a4774,a4855,a4939,a5017","avec la mondialisation de la finance et les incroyables progrès technoscientifiques, le capitalisme du 21ème  siècle crée des déséquilibres sociaux effarants, que l'on n'avait plus vu depuis le 19ème siècle. dans cette nouvelle forme capitaliste, les plus riches ont décidé de ne plus financer le monde commun au travers des impôts (nos écoles, nos routes, nos hôpitaux ...). c'est ainsi à une véritable destruction de nos sociétés à laquelle on assiste (impuissants ?).","['énergie', 'route', 'société', 'destruction', 'hôpitaux', 'monde', 'finance', 'impôt', 'école']",1,relocaliser la production d’énergie,"avec la mondialisation de la finance et les incroyables progrès technoscientifiques, le capitalisme du 21ème  siècle crée des déséquilibres sociaux effarants, que l'on n'avait plus vu depuis le 19ème siècle. dans cette nouvelle forme capitaliste, les plus riches ont décidé de ne plus financer le monde commun au travers des impôts (nos écoles, nos routes, nos hôpitaux ...). c'est ainsi à une véritable destruction de nos sociétés à laquelle on assiste (impuissants ?)."
a12,"a4593,a4617,a4749",éducation nationale,"['éducation', 'gpa', 'citoyen']",1,"exclure toute idéologie de l’éducation nationale, (exemple théorie du genre) révision des modules d’éducation, une stricte neutralité s’impose, l’éducation ne doit pas être le réceptacle des idéologies du moment, ni des groupes d’influences qui essaient de manipuler le futur citoyen (exemple la gpa, l’avortement, le féminisme, les modes sexuelles, les religions etc",éducation nationale
a13,"a4593,a4671,a4787,a4817,a4853",la constitution,"['initiative', 'loi', 'referendum', 'citoyen', 'constitution']",1,"referendum d'initiative citoyen pour :
- modifier la constitution
- annuler la loi
- destituer
- proposer une loi",la constitution
a14,"a4563,a4580,a4645",justice économique,"['biens', 'interdiction', 'france']",1,interdiction de vendre les biens appartenant à la france,justice économique
a15,a4766,justice démocratique,['entreprise'],1,lutter contre la délocalisation des entreprises,justice démocratique
a16,"a4570,a4615,a4871",l'injustice fiscale,"['injustice', 'injustice fiscale', 'isf']",1,rétablir et amplifier l'isf.,l'injustice fiscale
a17,"a4557,a4739",justice sociale,"['sécurité sociale', 'système']",1,même système de sécurité sociale pour tous,justice sociale
a18,"a4902,a4954",smic ,"['smic', 'euro']",1,augmenter le smic à 1300 euros net,smic 
a19,,le lbd 40,[],1,supprimer cette arme,le lbd 40
a20,"a4696,a4772,a4792,a4901",le pacte energie,"['pacte', 'carburant', 'eau', 'km']",1,"fabriquer de l'algocarburant, ou moteur à eau, ou recyclage déchets en carburant . les ingénieurs sont prêts. on ne veut pas de l'electrique (problèmes recyclage batteries à 10 000 e et 200 km d'autonomie)",le pacte energie
a21,"a4624,a4631,a4766,a4876",social,"['revenu', 'chômage', 'entreprise', 'solidarité']",1,voir pour mettre en place un revenu minimal de solidarité en taxant toute les entreprises qui robotise et qui crée du chômage.. en leur prenant l'équivalent du nombre de personnes qui es remplacé par la robotisation,social
a22,"a4624,a4631,a4766,a4876",social,"['revenu', 'chômage', 'entreprise', 'solidarité']",1,voir pour mettre en place un revenu minimal de solidarité en taxant toute les entreprises qui robotise et qui crée du chômage.. en leur prenant l'équivalent du nombre de personnes qui es remplacé par la robotisation,social
a23,"a4599,a4640,a4712,a4825,a4837,a4850,a4855,a4862,a4876,a5051",dépenses de l'état,"['casier judiciaire', 'réduction', 'salaire', 'avantage', 'revenu', 'ministre', 'obligation', 'état', 'député', 'impôt']",1,"réduction du salaire des ministres et députés
réduction des avantages divers
impôt sur les revenus
obligation d'un casier judiciaire vierge",dépenses de l'état
a24,"a4573,a4671,a4710,a5009",la loi schiappa,"['article', 'protection', 'violence', 'loi']",1,enlever cette loi schiappa article 2 qui ne garantit plus la protection des mineurs dans le cadre des violences sexuelles,la loi schiappa
a25,"a4766,a5051",les inégalités sociales,"['entreprise', 'salaire']",1,limité le multiplicateur entre les salaires les plus bas et les salaires les plus hauts dans les entreprises.,les inégalités sociales
a26,"a4800,a4873,a4919",la police et la gendarmerie,"['gendarmerie', 'emploi', 'police']",1,"changement de la doctrine d'emploi, trop violente",la police et la gendarmerie
a27,"a4636,a4776",les prix alimentaires trop élevés,"['taxe', 'prix']",1,baisser les taxes,les prix alimentaires trop élevés
a28,,traité de marrakech,[],1,deratification,traité de marrakech
a29,"a4768,a4776,a4805,a4883,a4935",la destruction neregle de nos services publics accompagnées d'une augmentation importante de nos taxes et charges,"['gestion', 'augmentation', 'taxe', 'charge', 'destruction']",1,sur charger et sur taxer  les multinationales qui profitent de nos infrastructures à l'oeil. exiger qu'elles financent directement nos services publics. leur interdire tout droit de regard sur leur gestion.,la destruction neregle de nos services publics accompagnées d'une augmentation importante de nos taxes et charges
a30,"a4558,a4698,a4804,a4926,a4969,a4991,a5049",transport : trajet domicile/travail,"['transport', ""pouvoir d' achat"", 'transition', 'hausse', 'travail', 'salarié', 'transition écologique']",1,"gratuité abonnement sncf/bus dans un rayon de 50 kms ( carte transport prépayée ou crédit d'impôt également  pour tous les salariés )
avantage ( transition écologique, énergétique et hausse du pouvoir d'achat) actuellement 50% pris en charge par l'employeur donc reste 50% à finnancer",transport : trajet domicile/travail
a31,"a4762,a4800,a4835,a4894,a5000",la cherté des loyers,"['emploi', 'zone', 'loyer', 'ville', 'logement']",1,créer autour des bassins d'emplois des zones aménagées  en recyclant les mobil-homes qui ne sont plus acceptés par les campings de loisir mais qui sont encore en bon état pour servir de logement à ceux qui ont fui les villes trop chères et les banlieues trop peu sûres.,la cherté des loyers
a32,"a4593,a4757,a4905,a4966,a5006",l'union européenne actuelle,"['sécurité', 'budget', 'union européenne', 'citoyen', 'union']",1,réduire drastiquement le budget de l'union européenne qui n'est qu'une foire aux lobbys économiques et financiers puissants et qui complique depuis des décennies la vie des citoyens européens sans leur apporter la prospérité ni la sécurité.,l'union européenne actuelle
a33,"a4675,a4765,a4809,a4844,a5009",les violences policieres,"['droit', 'handicap', 'violence', 'mort', 'président']",1,passer au tribunal les responsables de la prise de décision ( le  ministre et le président) ayant  entrainé la mort ou le handicap d'individus exerçant naturellement leur droit constitutionnel  de manifester.,les violences policieres
a34,"a4692,a4757,a4762,a4835,a4887",la cherté des loyers,"['vente', 'retraite', 'loyer', 'sécurité', 'logement']",1,"favoriser la vente des appartements hlm à leurs locataires afin que leur loyer serve à acquérir une épargne, la possession de son logement étant le meilleur placement de sécurité pour sa retraite.",la cherté des loyers
a35,"a4645,a4675,a4974",aspa,"['droit', 'france', 'français']",1,"les etrangers ont droit à l'aspa même s'ils n'ont jamais travaillé en france ni cotisé. comme ils n'y possèdent rien, ce sont les français pauvres qui se privent pour conserver leur petit bien.",aspa
a36,"a4762,a4971",social,"['association', 'logement']",1,donner des moyens au associations pour qu'il puisse récupérer les bâtiments laissé à l'abandon pour y faire des logements sociaux pour les plus démunis et qu'il n'y ait plus personne à la rue,social
a37,"a4734,a4762,a4926",immigration,"['logement', 'immigration', 'travail']",1,laisser rentrer les etrangers s'ils ont un travail et un logement et qu'ils parlent le francais,immigration
a38,"a4766,a4839,a4886,a4891",discriminations salariales entre les femmes et les hommes,"['principe', 'entreprise', 'lois', 'femme']",1,applications immédiates de toutes les lois votées en ce sens avec de très lourdes sanctions pour les entreprises ou collectivités qui ne respectent pas ce principe,discriminations salariales entre les femmes et les hommes
a39,"a4692,a4835,a4876,a4899,a4954,a4992,a5051",complexité du code fiscal,"['indemnité', 'retraite', 'salaire', 'csg', 'revenu', 'loyer', 'euro']",1,"réforme complète en supprimant la csg. tous les revenus doivent être globalisés (salaires retraites, primes, indemnités, loyers, revenus financiers) et être taxé selon une échelle progressive mais au-dessus de 15.000 euros pour un couple",complexité du code fiscal
a40,"a4579,a4631,a4926,a4954,a4985,a5006",le chômage de masse,"['100 milliards', 'chômage', 'budget', 'travail', 'chomage', 'euro']",1,"confier un chômeur à chaque artisan et commerçant pendant 1 an. budget : 31 200 euros par chômeur. avec 100 milliards d'euros, on remet au travail 3.2 millions de personnes. détail de cette solution en tapant ""anousdejouer chomage"" sur google",le chômage de masse
a41,"a4645,a4675,a4750,a4856,a4922,a4972,a4999",abus en matière du droit du sol,"['droit', 'sol', 'enfant', 'nationalité', 'abus', 'parent', 'france']",1,"supprimer le droit du sol. les enfants de parents étrangers qui n'ont pas la double nationalité mais sont nés en france, restent étrangers et non français",abus en matière du droit du sol
a42,"a4596,a4707",injustices en matières pénales,"['peine', 'peuple']",1,que l'échelle des peines soit soumise à l'approbation du peuple et obligatoirement appliquée par les juges.,injustices en matières pénales
a43,"a4673,a4820",impot,"['impot', 'frais']",1,remettre les frais des travaux pour l’amélioration des habitations avec un abattements de 30 % a déduire sur les impots et non pas par prime,impot
a44,a5051,salaire,['salaire'],1,"augmenter tous les salaires smic, fonctionnaire  etc ...... au minimum de 1600 € net",salaire
a45,a4669,migrant,['migrant'],1,"arreter de d’accueillir les migrants pour l'instant, afin de pouvoir aider les sdf",migrant
a46,"a4674,a4743",tva,"['produit', 'tva']",1,baisser la tva des produits francais a 2.5 % pour ceux a 5.5 % a leur actuel et 15 % pour ceux a 20%,tva
